name,age,position,goals,salary
Leke Adebayo,27,Forward,28,185000
Marco Ferreira,24,Midfielder,12,95000
Yusuf Demir,22,Forward,21,110000
Tomas Kral,30,Defender,3,78000
Kenji Sato,26,Midfielder,15,88000
Diego Fuentes,29,Forward,24,160000
Owen Clarke,23,Defender,2,65000
Rashid Karimov,31,Goalkeeper,0,70000
Luca Moretti,25,Midfielder,9,82000
Samuel Osei,28,Forward,19,130000
Nikolai Petrov,33,Defender,4,72000
Hiroshi Tanaka,21,Midfielder,7,60000
Andres Villa,27,Forward,22,145000
Marcus Webb,24,Defender,1,68000
Ivan Kovac,29,Goalkeeper,0,75000
Paulo Almeida,26,Midfielder,11,90000
Jonas Berg,32,Defender,3,71000
Ethan Brooks,22,Forward,17,102000
Ravi Shankar,25,Midfielder,8,84000
Miguel Torres,30,Forward,26,175000
